ticker,stage,reason_code,severity_bucket,is_large_cap,sector_wide,market_cap_eur,gics_sector,detail
AMS.VI,resolution,RESOLUTION_DEGRADED_DICT,REVIEW,False,False,,,
PSTG,resolution,RESOLUTION_DEGRADED_DICT,REVIEW,False,False,,,
RIGN.SW,resolution,RESOLUTION_DEGRADED_DICT,REVIEW,False,False,,,
ROL.L,resolution,RESOLUTION_DEGRADED_DICT,REVIEW,False,False,,,
SANO.HE,resolution,RESOLUTION_DEGRADED_DICT,REVIEW,False,False,,,
SCHA.OL,resolution,RESOLUTION_DEGRADED_DICT,REVIEW,False,False,,,
GLB.IR,resolution,RESOLUTION_NO_SYMBOL_DATA,REVIEW,False,False,,,NO_RAW_MC
ML.PA,resolution,RESOLUTION_NO_SYMBOL_DATA,REVIEW,False,False,,,NO_RAW_MC
RNL.PA,resolution,RESOLUTION_NO_SYMBOL_DATA,REVIEW,False,False,,,NO_RAW_MC
1COV.DE,basis_gates,GATE_VOLUME,REVIEW,True,False,11320645632.0,,
AA,basis_gates,GATE_GROSS_MARGIN,BENIGN,True,False,12059954282.495998,Basic Materials,
ABF.L,basis_gates,GATE_GROSS_MARGIN,BENIGN,True,False,16123704606.72,Consumer Defensive,
ABN.AS,basis_gates,FRAMEWORK_METRIK_NA,BENIGN,True,False,30299312128.0,Financial Services,
AC.PA,basis_gates,GATE_GROSS_MARGIN,BENIGN,True,False,12004759552.0,Consumer Cyclical,
ACA.PA,basis_gates,FRAMEWORK_METRIK_NA,BENIGN,True,False,53221740544.0,Financial Services,
ACGL,basis_gates,FRAMEWORK_METRIK_NA,BENIGN,True,False,29723651245.056,Financial Services,
ACM,basis_gates,GATE_GROSS_MARGIN,BENIGN,True,False,7862994270.719999,Industrials,
ACX.MC,basis_gates,GATE_REVENUE_GROWTH,BENIGN,True,False,3822203904.0,Basic Materials,
ADC,basis_gates,FRAMEWORK_METRIK_NA,BENIGN,True,False,7996238875.136,Real Estate,
ADEN.SW,basis_gates,GATE_GROSS_MARGIN,BENIGN,False,False,2796586027.2896,Industrials,
ADM,basis_gates,GATE_GROSS_MARGIN,BENIGN,True,False,32274026715.135998,Consumer Defensive,
ADM.L,basis_gates,FRAMEWORK_METRIK_NA,BENIGN,True,False,12344522456.678398,Financial Services,
AFG,basis_gates,FRAMEWORK_METRIK_NA,BENIGN,True,False,10191123671.552,Financial Services,
AFL,basis_gates,FRAMEWORK_METRIK_NA,BENIGN,True,False,52308186261.504,Financial Services,
AGS.BR,basis_gates,FRAMEWORK_METRIK_NA,BENIGN,True,False,14645935104.0,Financial Services,
AHR,basis_gates,FRAMEWORK_METRIK_NA,BENIGN,True,False,8809235959.296,Real Estate,
AI.PA,basis_gates,GATE_REVENUE_GROWTH,REVIEW,True,False,110183170048.0,Basic Materials,
AIG,basis_gates,FRAMEWORK_METRIK_NA,BENIGN,True,False,34636007583.743996,Financial Services,
AIZ,basis_gates,FRAMEWORK_METRIK_NA,BENIGN,True,False,11661855779.84,Financial Services,
AKE.PA,basis_gates,GATE_REVENUE_GROWTH,BENIGN,True,False,4173693952.0,Basic Materials,
AKRBP.OL,basis_gates,GATE_REVENUE_GROWTH,REVIEW,True,False,16897927892.172802,Energy,
AKZA.AS,basis_gates,GATE_REVENUE_GROWTH,REVIEW,True,False,10164941824.0,Basic Materials,
ALL,basis_gates,FRAMEWORK_METRIK_NA,BENIGN,True,False,53686270216.19199,Financial Services,
ALLFG.AS,basis_gates,GATE_REVENUE_GROWTH,BENIGN,True,False,5113862656.0,Financial Services,
ALLY,basis_gates,FRAMEWORK_METRIK_NA,BENIGN,True,False,12345270206.463999,Financial Services,
ALO.PA,basis_gates,GATE_GROSS_MARGIN,BENIGN,True,False,7038703104.0,Industrials,
ALV.DE,basis_gates,FRAMEWORK_METRIK_NA,BENIGN,True,False,157062447104.0,Financial Services,
AMH,basis_gates,FRAMEWORK_METRIK_NA,BENIGN,True,False,12044504995.328,Real Estate,
AMKR,basis_gates,GATE_GROSS_MARGIN,BENIGN,True,False,18734353296.384,Technology,
AML.L,basis_gates,GATE_VOLUME,BENIGN,False,False,443613107.6928,Consumer Cyclical,
AMP,basis_gates,FRAMEWORK_METRIK_NA,BENIGN,True,False,36147903385.6,Financial Services,
AMT,basis_gates,FRAMEWORK_METRIK_NA,BENIGN,True,False,66794672201.728,Real Estate,
AN,basis_gates,GATE_GROSS_MARGIN,BENIGN,True,False,5449034848.512,Consumer Cyclical,
ANE.MC,basis_gates,GATE_REVENUE_GROWTH,BENIGN,True,False,7504840192.0,Utilities,
APA,basis_gates,GATE_REVENUE_GROWTH,REVIEW,True,False,10090728884.736,Energy,
ARE,basis_gates,FRAMEWORK_METRIK_NA,BENIGN,True,False,8072689196.544,Real Estate,
ARMK,basis_gates,GATE_GROSS_MARGIN,BENIGN,True,False,13114244047.359999,Industrials,
ARW,basis_gates,GATE_GROSS_MARGIN,BENIGN,True,False,9564802407.424,Technology,
ASB,basis_gates,FRAMEWORK_METRIK_NA,BENIGN,True,False,5095074024.96,Financial Services,
AT1.DE,basis_gates,GATE_REVENUE_GROWTH,BENIGN,False,False,2404503040.0,Real Estate,
ATO.PA,basis_gates,GATE_MARKET_CAP,BENIGN,False,False,653036288.0,Technology,
